Date and Time,Voltage,TotalCurrent,Tank Mode: Left Y Axis,Tank Mode: Right Y Axis,Arcade Mode: Speed (1 to -1),Arcade Mode: Right X Axis,Drive Mode,UpperLimitSwitchState,LowerLimitSwitchState,StackerEncoderDistance,StackerMotorValue,Claw Pressure,Left Drive Speed,Right Drive Speed,X-position,Y-position,Heading,Traveled
20150210_054544294,0.1452998547,0.0578058291,0.9841097348,0.4801430329,0.2043537536,0.02656239141,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054545106,0.4369412857,0.4437470811,0.6262868927,0.1938100803,0.992622386,0.9321098981,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054545918,0.7899153101,0.2064558188,0.3411098638,0.4932522028,0.1968024564,0.7078801185,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054546730,0.8021735229,0.7346717721,0.9748432732,0.9673031304,0.9641041706,0.3591745466,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054547535,0.02995644336,0.2438105535,0.467950353,0.06687322853,0.6993255676,0.192328607,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054548348,0.8418426165,0.7509628543,0.2275616178,0.185064955,0.213725391,0.7998945166,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054549152,0.05037971483,0.308176491,0.3500551329,0.1771509242,0.5524054816,0.09497847778,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054549965,0.8839051235,0.3732546434,0.2802230686,0.1694355837,0.1179430919,0.01591294358,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054550777,0.0802803404,0.8778606556,0.9815947915,0.8895887271,0.1762438244,0.1241607444,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054551590,0.9252969431,0.07935852244,0.06338453096,0.2989123134,0.75925612,0.7369769888,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054552395,0.2562782832,0.3714094927,0.09428925505,0.4836611865,0.7286578366,0.4762457006,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054553208,0.09302691315,0.6645527018,0.8074648903,0.403166591,0.6946820406,0.7680341154,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054554020,0.8334414473,0.5380403864,0.2270005377,0.9601859163,0.4297568276,0.5026267484,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054554822,0.3852736867,0.6692691521,0.1070595197,0.5557899361,0.2867101038,0.3664297926,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054555629,0.4485000151,0.6554608056,0.08319842195,0.5900570643,0.7296873232,0.791752791,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054556414,0.3621998777,0.8388163726,0.2600334502,0.9390969438,0.4064977684,0.06709466404,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054557226,0.7237280328,0.1969579544,0.01687887397,0.08869667558,0.8485231161,0.23560047,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054558039,0.8087713192,0.03237083238,0.5276926237,0.5911813688,0.9964797778,0.8840384329,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054558852,0.1079655125,0.3930423486,0.5353714166,0.0889939628,0.4950284751,0.5487550447,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054559664,0.9705776364,0.4622185306,0.4969130011,0.4667022442,0.9241131761,0.05719626154,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054600477,0.109802679,0.003832695293,0.3637853738,0.2984881042,0.8057684261,0.2443132689,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054601289,0.9960331994,0.4019840184,0.8041823901,0.3505467747,0.1539739777,0.07379499286,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054602102,0.3785506343,0.536188929,0.3503466449,0.6666482446,0.5357283502,0.7997990191,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054602914,0.3225592826,0.4928216033,0.9263680476,0.5241769753,0.7862693787,0.417654872,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054603718,0.838503728,0.1243762304,0.03991467276,0.04847784318,0.5897149473,0.8644810175,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054604531,0.1791965547,0.2033668564,0.2655798344,0.4803453861,0.3710692134,0.4985637598,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054605336,0.9540124131,0.7754379965,0.3555221231,0.8651094037,0.1894413337,0.9538153929,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054606147,0.2929876008,0.5823799238,0.2082911765,0.4608114165,0.9148581519,0.1130348982,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054606954,0.3855063984,0.7317591389,0.5214480776,0.6549731817,0.4190793229,0.3747436573,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054607766,0.5714401234,0.1678082433,0.465075202,0.71718214,0.5956536681,0.9789861171,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054608579,0.7439381515,0.2854281518,0.1683463696,0.8455588291,0.9425414973,0.7454236301,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054609391,0.6690964989,0.2834319997,0.6806957375,0.4961406972,0.7318391042,0.7773852527,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054610204,0.8328835044,0.5944950392,0.7791546655,0.6114072993,0.2148123557,0.6734439101,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054611012,0.2539851879,0.2309320691,0.8192826246,0.1718373807,0.4855638122,0.3965443073,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054611816,0.9190901363,0.3932354203,0.07738562914,0.01505901885,0.1588826468,0.08708810061,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054612628,0.6814258361,0.3533628628,0.09095037171,0.3004571002,0.9922298301,0.8979913374,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054613441,0.9445829232,0.0908620325,0.2060476546,0.3411586386,0.7064802877,0.6648111548,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054614253,0.01084392088,0.1534756432,0.5001578772,0.7809153786,0.602002914,0.06080436285,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054615066,0.70311951,0.6401813814,0.1905884005,0.3573153934,0.7276876874,0.4594298752,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054615878,0.6090856772,0.6605950246,0.4086415779,0.662878275,0.09687164266,0.1836827255,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054616691,0.3830649348,0.8945211278,0.08324987123,0.2868049211,0.1401635436,0.4869048574,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054617493,0.3549977624,0.8819065734,0.6537983804,0.3560737815,0.6475697116,0.3662110881,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054618306,0.3254751898,0.5135108943,0.7250458836,0.3165628342,0.5971507015,0.9569120134,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054619115,0.9691660016,0.2927909895,0.7244889186,0.2360155439,0.8293369301,0.503714043,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054619924,0.6738196095,0.02228015599,0.3768231877,0.1385763889,0.3244762505,0.3162114657,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054620736,0.6547277485,0.02659440131,0.6385391196,0.5992725805,0.7953141116,0.2304084308,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054621549,0.8794343211,0.4612506473,0.7197727198,0.123766974,0.8956863975,0.09928056318,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054622361,0.855752281,0.3429287368,0.4985273911,0.05038792147,0.1732592372,0.5654618556,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054623155,0.8692107597,0.4124905262,0.3311688511,0.4354370912,0.00228527185,0.1175777229,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054623968,0.9651080442,0.4768545403,0.1241714028,0.1722081996,0.007776623832,0.8539108746,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054624784,0.4395333303,0.6717250711,0.6415093034,0.5256206258,0.3593633181,0.04355730989,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054625582,0.5809209596,0.5063368755,0.7108098821,0.4770794104,0.1095300476,0.06265783499,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054626394,0.9890693763,0.7113536573,0.2787067354,0.7341375904,0.5679350723,0.3732021645,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054627188,0.8972123398,0.09503362457,0.5747763795,0.4090740157,0.1287566451,0.6700530944,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054627994,0.6842793038,0.498619016,0.3232735242,0.9793537095,0.08190903973,0.8870445782,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054628806,0.8882533137,0.06025346198,0.7891721846,0.5837382808,0.06722131482,0.3706048498,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054629619,0.2226865252,0.4844526585,0.3208934704,0.03474589098,0.963260861,0.5206959416,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054630431,0.6163723999,0.6359071315,0.8495784035,0.5440164654,0.4455940849,0.9644960092,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054631247,0.4428736755,0.343141172,0.4263660553,0.5101645887,0.1827762898,0.3387162353,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054632060,0.658820173,0.0171984416,0.5411415547,0.3768687356,0.007756373408,0.9907986865,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054632872,0.5653314515,0.6421140235,0.05224088527,0.1755778453,0.1803988061,0.557762922,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054633685,0.8508671886,0.5230116476,0.3993882558,0.3881308674,0.3660378522,0.5351697892,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054634497,0.038781259,0.266756723,0.1487605401,0.5931200995,0.8491116961,0.1545333506,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054635303,0.2102536356,0.2444269623,0.7008594456,0.2524671223,0.9587658015,0.8546054312,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054636097,0.03214827924,0.4697430075,0.2968474622,0.4661121453,0.1753790397,0.029838131,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054636909,0.6137092474,0.8801352801,0.810619481,0.2355692419,0.8313136988,0.9363850628,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054637704,0.03832962051,0.6011205729,0.2162855939,0.61765972,0.3490692812,0.3816368413,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054638390,0.001436641955,0.123956594,0.1169277596,0.08740616578,0.1822293536,0.2841205958,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054639184,0.8432600525,0.2880657972,0.9060575511,0.9133893403,0.1537138787,0.4070629311,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054639997,0.192735165,0.2640422873,0.2545257067,0.4043077582,0.09579300952,0.3049460098,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054640809,0.02912495453,0.3462578991,0.2877331055,0.7203793028,0.03676313294,0.6370334963,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054641622,0.7985048286,0.8911387611,0.05337699232,0.7955722488,0.06091860261,0.8780627012,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054642436,0.006136509975,0.4332501997,0.02621426881,0.01555812718,0.1276694272,0.6782638246,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054643308,0.8479951544,0.8736083183,0.7362209257,0.2243485701,0.5437034181,0.5014498554,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054644120,0.350922632,0.2037020974,0.7810031601,0.03055837821,0.07325511086,0.3583060908,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054644933,0.1322692358,0.1344705629,0.5534939689,0.8456126548,0.2178194902,0.8415307267,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054645739,0.534757764,0.9431658404,0.8870738118,0.2456460863,0.3646363902,0.8421415906,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054646552,0.5704764609,0.620895152,0.9062080278,0.4746073755,0.2846105808,0.3165592628,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054647346,0.2806918203,0.6782140154,0.7846228976,0.6629342304,0.5733244777,0.2070419023,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054648159,0.1828327677,0.06532043252,0.3250357977,0.1912508542,0.3451274868,0.3106814717,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054648971,0.1398329331,0.06358412568,0.08430021007,0.02929674755,0.8469915542,0.8596657662,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054649784,0.2024836387,0.3412951182,0.5965561203,0.2394643947,0.3719403465,0.789885536,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054650596,0.03396517142,0.7998714051,0.157452996,0.1135148715,0.1543689095,0.5800885087,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054651395,0.06408694724,0.07346703334,0.1453954981,0.300479659,0.7125727388,0.0368589043,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054652196,0.6003095707,0.4469067405,0.5335614922,0.2321282295,0.146068671,0.5467090139,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054653009,0.1975387926,0.5927264714,0.1745300927,0.9069330737,0.6225989572,0.2682221912,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054653803,0.08616625353,0.6677304939,0.1391218902,0.06676236971,0.4116368198,0.4894094643,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054654615,0.848940025,0.772827715,0.3565742655,0.4865437515,0.3492463182,0.3894351358,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054655428,0.1836357839,0.7060511665,0.7590993724,0.9155329423,0.1763332756,0.8322450145,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054656194,0.3064529378,0.9479636539,0.2683906991,0.5626275374,0.1807880538,0.6902197659,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054657006,0.7404590498,0.1969263491,0.7947049864,0.006266738241,0.6730932801,0.9082266125,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054657819,0.5755411275,0.2114793973,0.6223541459,0.5414743312,0.4487623968,0.0125978763,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054658631,0.4207138226,0.8074103322,0.9462464417,0.3941522855,0.1405835243,0.7849721884,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054659422,0.5162594395,0.4195364691,0.4132471363,0.3471861392,0.1654009542,0.7261948962,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054700235,0.5727650542,0.1629925854,0.3993916365,0.4360699831,0.4975730206,0.04929988294,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054701047,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054701860,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054702672,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054703485,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054704297,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054705110,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054705922,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054706716,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054707500,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054708313,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054709125,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054709937,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054710750,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054711563,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054712375,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054713180,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054713993,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054714795,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054715601,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054716414,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054717226,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054718039,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054718851,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054719664,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054720469,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054721282,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054722086,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054722900,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054723721,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054724534,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054725346,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054726159,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054726971,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054727772,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054728567,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054729379,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054730192,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054731004,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054731811,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054732623,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054733436,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054734249,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054735062,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054735874,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054736676,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054737489,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054738292,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054739103,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054739910,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054740723,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054741525,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054742337,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054743150,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054743962,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054744775,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054745587,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054746400,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054747214,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054747771,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054748402,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054749197,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054750009,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054750822,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054751634,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054752447,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054753259,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054754072,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054754884,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054755674,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054756487,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054757299,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054758112,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054758924,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054759737,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054800549,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054801362,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054802175,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054802987,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054803778,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054804590,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054805403,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054806215,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054807028,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054807822,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054808627,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054809422,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054810236,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054811049,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054811855,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054812668,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054813480,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054814293,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054815105,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054815918,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054816731,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054817529,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054818341,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054819143,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054819960,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054820772,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054821585,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054822397,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054823212,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054824013,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054824826,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054825639,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054826451,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054827264,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054828070,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054828883,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054829676,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
20150210_054830479,0,0,0,0,0,0,Tank,0,1,0,0,-1,0,0,0,0,0,0
